招生信息,,,,,,,,,2024年,,,2023年,,,2022年,,,2021年,,,2020年,,
批次,院校代码,院校名称,专业代码,专业名称,计划人数,学费,学制,选科要求,专业名称2024,投档计划数2024,最低位次2024,专业名称2023,投档计划数2023,最低位次2023,专业名称2022,投档计划数2022,最低位次2022,投档计划数2021,最低位次2021,专业名称2021,投档计划数2020,最低位次2020,专业名称2020
本科提前批,P020,海军军医大学,9,预防医学(公共卫生医师)(女，军事(非指挥)类，医疗岗位合格，特殊类型招生控制线，英语),1,,5,物理和化学,,,,护理学(护师),1,30651,护理学(护师),1,28800,,,,1,17473,护理学(护师)
本科提前批,P030,空军军医大学,2,临床医学(航空航天高级临床医师)(男，军事(非指挥)类，医疗岗位合格，特殊类型招生控制线，英语),1,,八年医,物理和化学,,,,临床医学(本硕博连读),4,4425,临床医学,4,4611,,,,4,4749,临床医学
本科提前批,P030,空军军医大学,3,临床医学(航空航天医疗通科医师)(男，军事(非指挥)类，医疗岗位合格，特殊类型招生控制线，英语),4,,5,物理和化学,,,,临床医学,12,9828,临床医学,12,10172,,,,12,10360,临床医学
本科提前批,P030,空军军医大学,4,临床医学(临床通科医师)(男，军事(非指挥)类，医疗岗位合格，特殊类型招生控制线，英语),20,,5,物理和化学,,,,口腔医学(本硕博连读),1,1033,口腔医学,1,1416,,,,1,2791,口腔医学
本科提前批,P030,空军军医大学,7,口腔医学(口腔医学高级临床医师)(男，军事(非指挥)类，医疗岗位合格，特殊类型招生控制线，英语),1,,八年医,物理和化学,,,,生物技术,2,20462,生物技术,2,19265,,,,3,16324,生物技术
本科提前批,P030,空军军医大学,8,预防医学(公共卫生医师)(男，军事(非指挥)类，医疗岗位合格，特殊类型招生控制线，英语),2,,5,物理和化学,,,,药学,2,19841,药学,2,18746,,,,3,16493,药学
本科提前批,P030,空军军医大学,1,临床医学(高级临床通科医师)(女，军事(非指挥)类，医疗岗位合格，特殊类型招生控制线，英语),1,,八年医,物理和化学,,,,基础医学(本硕博连读),2,10485,基础医学,2,9593,,,,2,11232,基础医学
本科提前批,P030,空军军医大学,5,临床医学(临床通科医师)(女，军事(非指挥)类，医疗岗位合格，特殊类型招生控制线，英语),4,,5,物理和化学,,,,口腔医学,4,7217,口腔医学,4,6682,,,,3,7500,口腔医学
本科提前批,P030,空军军医大学,6,口腔医学(口腔医疗通科医师)(女，军事(非指挥)类，医疗岗位合格，特殊类型招生控制线，英语),1,,5,物理和化学,,,,生物医学工程,2,18589,生物医学工程,2,18767,,,,2,15783,生物医学工程
本科提前批,A652,西南政法大学,1,侦查学(公安(武警)类，只招男生，1.要求双眼裸眼视力4.7及以上，其他录取条件参照教育部、司法部、教学司[2003]16号文件及我校招生章程。2.我校不单独组织体测面试),5,5600,4,思想政治,,,,,,,,,,,,,56,13489,法学
本科提前批,A652,西南政法大学,2,侦查学(公安(武警)类，只招女生，1.要求双眼裸眼视力4.7及以上，其他录取条件参照教育部、司法部、教学司[2003]16号文件及我校招生章程。2.我校不单独组织体测面试),1,5600,4,思想政治,,,,,,,,,,,,,4,13848,知识产权
本科提前批,E100,山东政法学院,1,监狱学(男)(招男生，考生须参加学校组织的现场测试),180,5280,4,不限,,,,法学,1027,99477,经济学,30,139513,1103,126386,法学,1083,133831,法学
本科提前批,E100,山东政法学院,3,司法警察学(男)(招男生，考生须参加学校组织的现场测试),45,4400,4,不限,,,,国际经贸规则,24,115033,计算机科学与技术(校企合作，与济南博赛网络技术有限公司合作),60,189257,31,130464,政治学与行政学(法治政务方向),31,137540,政治学与行政学(法治政务方向)
本科提前批,E100,山东政法学院,2,监狱学(女)(招女生，考生须参加学校组织的现场测试),20,5280,4,不限,,,,知识产权,31,102535,法学,1093,120261,25,127497,知识产权,25,135532,知识产权
本科提前批,E100,山东政法学院,4,司法警察学(女)(招女生，考生须参加学校组织的现场测试),5,4400,4,不限,,,,政治学与行政学(法治政务方向),31,114008,跨境电子商务(校企合作，与山东华仁教育发展有限公司合作),100,304344,60,138594,行政管理,60,144343,行政管理
本科提前批,A254,上海海事大学,1,航海技术(辨色力正常(无色盲无色弱)，无复视；身高1.60米及以上；双眼裸视力均能达到4.7(0.5)及以上，或双眼裸视力均能达到4.0(0.1)及以上且矫正视力均能达到4.8(0.6)及以上。由于工作性质特殊，不适宜女生报考),15,7000,4,物理和化学,,,,法学(海商法),2,20531,,,,,,,,,
本科提前批,A254,上海海事大学,2,轮机工程(辨色力正常(无色盲无色弱)，无复视；身高1.55米及以上；双眼裸视力均能达到4.6(0.4)及以上，或双眼裸视力均能达到4.0(0.1)及以上且矫正视力均能达到4.6(0.4)及以上。由于工作性质特殊，不适宜女生报考),15,7000,4,物理和化学,,,,经济学类,2,30112,,,,,,,,,
本科提前批,A340,浙江海洋大学,19,航海技术(第一年在定海校区，一年后在新城校区就读。不适宜女生报考),2,5500,4,物理和化学,,,,,,,,,,,,,2,62026,土木工程
本科提前批,A390,集美大学,6,轮机工程(不适合女生报考。双眼裸视力4.6(0.4)及以上，或双眼裸视力4.0(0.1)及以上且矫正视力均能达4.6(0.4)及以上；无色盲；身高155cm及以上),12,5460,4,物理和化学,,,,轮机工程(陆上方向),3,62998,轮机工程(船机修造方向),4,71031,4,64646,轮机工程(船机修造方向),4,55328,轮机工程(船机修造方向)
