北京邮电大学,工商管理类,"['工商管理', '类']",4
北京邮电大学,理科试验班(信息科学),"['理科', '试验班', '(', '信息科学', ')']",3
北京邮电大学,英语,['英语'],4
北京邮电大学,法学,['法学'],3
北京邮电大学,智能交互设计,"['智能', '交互', '设计']",3
北京邮电大学,网络与新媒体,"['网络', '与', '新', '媒体']",3
北京邮电大学,通信工程(大类招生),"['通信工程', '(', '大', '类', '招生', ')']",20
北京邮电大学,电子信息类,"['电子信息', '类']",13
北京邮电大学,网络空间安全(大类招生),"['网络空间', '安全', '(', '大', '类', '招生', ')']",11
北京印刷学院,印刷工程,"['印刷', '工程']",3
北京印刷学院,印刷工程(毕昇卓越班),"['印刷', '工程', '(', '毕', '昇', '卓越', '班', ')']",1
北京印刷学院,包装工程,"['包装', '工程']",2
北京印刷学院,机械类,['机械类'],3
北京印刷学院,计算机类,"['计算机', '类']",9
北京印刷学院,编辑出版学,"['编辑', '出版学']",1
北京印刷学院,编辑出版学(韬奋实验班),"['编辑', '出版学', '(', '韬奋', '实验班', ')']",1
北京印刷学院,数字出版,"['数字', '出版']",1
北京印刷学院,传播学(国际出版实验班),"['传播学', '(', '国际', '出版', '实验班', ')']",1
北京印刷学院,广告学,['广告学'],2
北京印刷学院,传播学,['传播学'],1
北京建筑大学,建筑学(实验班),"['建筑学', '(', '实验班', ')']",1
北京建筑大学,风景园林,['风景园林'],1
北京建筑大学,智能建造,"['智能', '建造']",2
北京建筑大学,土木工程(实验班),"['土木工程', '(', '实验班', ')']",3
北京建筑大学,土木工程(新一代智慧建筑工程),"['土木工程', '(', '新一代', '智慧', '建筑工程', ')']",2
北京建筑大学,土木工程(智慧城市道桥工程),"['土木工程', '(', '智慧', '城市', '道桥', '工程', ')']",1
北京建筑大学,交通工程(智能交通),"['交通', '工程', '(', '智能', '交通', ')']",1
北京建筑大学,建筑环境与能源应用工程(实验班),"['建筑', '环境', '与', '能源', '应用', '工程', '(', '实验班', ')']",1
北京建筑大学,建筑环境与能源应用工程,"['建筑', '环境', '与', '能源', '应用', '工程']",1
北京建筑大学,给排水科学与工程,"['给排水', '科学', '与', '工程']",3
北京建筑大学,环境科学与工程类,"['环境', '科学', '与', '工程', '类']",1
北京建筑大学,自动化(建筑智能控制与机器人),"['自动化', '(', '建筑', '智能', '控制', '与', '机器人', ')']",1
北京建筑大学,电气工程及其自动化(城市电网),"['电气工程', '及其', '自动化', '(', '城市', '电网', ')']",1
北京建筑大学,建筑电气与智能化(智能建筑),"['建筑', '电气', '与', '智能化', '(', '智能建筑', ')']",1
北京建筑大学,工程管理(实验班),"['工程', '管理', '(', '实验班', ')']",1
北京建筑大学,工程管理,"['工程', '管理']",1
北京建筑大学,工程造价,['工程造价'],1
北京建筑大学,法学,['法学'],2
北京建筑大学,导航工程,"['导航', '工程']",2
北京石油化工学院,化学工程与工艺,"['化学工程', '与', '工艺']",5
北京石油化工学院,生物制药,['生物制药'],6
北京石油化工学院,机械工程,['机械工程'],4
北京石油化工学院,环境工程,['环境工程'],8
北京石油化工学院,能源与动力工程,"['能源', '与', '动力工程']",8
北京石油化工学院,新能源科学与工程,"['新', '能源科学', '与', '工程']",5
北京石油化工学院,机器人工程,"['机器人', '工程']",3
北京石油化工学院,电气工程及其自动化,"['电气工程', '及其', '自动化']",3
北京石油化工学院,计算机科学与技术,"['计算机科学', '与', '技术']",3
北京石油化工学院,物联网工程,"['物', '联网', '工程']",2
北京石油化工学院,自动化,['自动化'],5
北京石油化工学院,大数据管理与应用,"['大', '数据管理', '与', '应用']",2
北京石油化工学院,高分子材料与工程,"['高分子', '材料', '与', '工程']",5
北京石油化工学院,材料科学与工程,"['材料科学', '与', '工程']",2
北京石油化工学院,安全工程(实验室管理),"['安全工程', '(', '实验室', '管理', ')']",6
北京石油化工学院,药物分析,"['药物', '分析']",2
中国农业大学,农学,['农学'],5
中国农业大学,生物科学类,"['生物科学', '类']",4
中国农业大学,食品科学与工程类,"['食品科学', '与', '工程', '类']",8
中国农业大学,电子信息类,"['电子信息', '类']",4
中国农业大学,计算机类,"['计算机', '类']",3
