北方工业大学,城市地下空间工程(智慧城市),"['城市', '地下', '空间', '工程', '(', '智慧', '城市', ')']",2
北方工业大学,智能建造,"['智能', '建造']",3
北方工业大学,交通设备与控制工程(智能交通),"['交通设备', '与', '控制工程', '(', '智能', '交通', ')']",3
北方工业大学,建筑学,['建筑学'],3
北方工业大学,城乡规划,['城乡规划'],2
北方工业大学,机械设计制造及其自动化(创新实验班),"['机械设计', '制造', '及其', '自动化', '(', '创新', '实验班', ')']",3
北方工业大学,电子信息工程(理工科实验班),"['电子', '信息工程', '(', '理工科', '实验班', ')']",2
北方工业大学,计算机科学与技术(创新实验班),"['计算机科学', '与', '技术', '(', '创新', '实验班', ')']",2
北方工业大学,数据科学与大数据技术(中外合作办学),"['数据', '科学', '与', '大', '数据', '技术', '(', '中外合作', '办学', ')']",3
北方工业大学,土木工程(中外合作办学),"['土木工程', '(', '中外合作', '办学', ')']",2
北京化工大学,工科试验班(宏德书院),"['工科', '试验班', '(', '宏德', '书院', ')']",6
北京化工大学,法学(卓越实验班),"['法学', '(', '卓越', '实验班', ')']",2
北京化工大学,理科试验班(数学、物理电子与管理),"['理科', '试验班', '(', '数学', '、', '物理', '电子', '与', '管理', ')']",14
北京化工大学,英语,['英语'],2
北京化工大学,工科试验班(绿色化工与生物医药),"['工科', '试验班', '(', '绿色', '化工', '与', '生物医药', ')']",26
北京化工大学,工科试验班(先进材料与绿色化学),"['工科', '试验班', '(', '先进', '材料', '与', '绿色', '化学', ')']",33
北京化工大学,自动化类(高端装备与智能制造),"['自动化', '类', '(', '高端', '装备', '与', '智能', '制造', ')']",31
北京化工大学,计算机类,"['计算机', '类']",16
北京化工大学,工商管理类(新文科经管法),"['工商管理', '类', '(', '新', '文科', '经管', '法', ')']",13
北京化工大学,化工与制药类(中外合作办学)(中法精英工程教育试验班),"['化工', '与', '制药', '类', '(', '中外合作', '办学', ')', '(', '中', '法', '精英', '工程', '教育', '试验班', ')']",8
北京化工大学,生物工程(中外合作办学)(中美双学位、生物过程工程),"['生物工程', '(', '中外合作', '办学', ')', '(', '中', '美', '双学位', '、', '生物', '过程', '工程', ')']",5
北京化工大学,机械设计制造及其自动化(中外合作办学)(中美双学位、机器人方向),"['机械设计', '制造', '及其', '自动化', '(', '中外合作', '办学', ')', '(', '中', '美', '双学位', '、', '机器人', '方向', ')']",6
北京化工大学,工业设计(中外合作办学)(中意设计双学位),"['工业', '设计', '(', '中外合作', '办学', ')', '(', '中意', '设计', '双学位', ')']",2
北京工商大学,经济与贸易类,"['经济', '与', '贸易', '类']",5
北京工商大学,工商管理类,"['工商管理', '类']",5
北京工商大学,会计学(智能会计),"['会计学', '(', '智能', '会计', ')']",5
北京工商大学,法学,['法学'],6
北京工商大学,计算机类,"['计算机', '类']",5
北京工商大学,香料香精技术与工程,"['香料', '香精', '技术', '与', '工程']",5
北京工商大学,材料类,"['材料', '类']",5
北京工商大学,食品科学与工程类,"['食品科学', '与', '工程', '类']",5
北京工商大学,应用化学(日化方向),"['应用化学', '(', '日化', '方向', ')']",5
北京工商大学,化学,['化学'],5
北京工商大学,化妆品技术与工程,"['化妆品', '技术', '与', '工程']",5
北京工商大学,生物工程,['生物工程'],5
北京工商大学,国际经济与贸易(数字贸易实验班),"['国际', '经济', '与', '贸易', '(', '数字', '贸易', '实验班', ')']",5
北京工商大学,食品科学与工程(中外合作办学),"['食品科学', '与', '工程', '(', '中外合作', '办学', ')']",5
北京服装学院,服装设计与工程,"['服装设计', '与', '工程']",5
北京服装学院,工业设计,"['工业', '设计']",1
北京服装学院,高分子材料与工程,"['高分子', '材料', '与', '工程']",8
北京服装学院,轻化工程,"['轻化', '工程']",6
北京服装学院,传播学,['传播学'],2
北京服装学院,广告学,['广告学'],3
北京服装学院,工商管理类,"['工商管理', '类']",7
北京服装学院,信息管理与信息系统,"['信息管理', '与', '信息系统']",2
北京邮电大学,电子信息类,"['电子信息', '类']",12
北京邮电大学,网络空间安全(大类招生),"['网络空间', '安全', '(', '大', '类', '招生', ')']",13
北京邮电大学,邮政管理(互联网与智慧物流),"['邮政', '管理', '(', '互联网', '与', '智慧', '物流', ')']",3
北京邮电大学,金融学类,"['金融学', '类']",5
北京邮电大学,理科试验班(信息科学),"['理科', '试验班', '(', '信息科学', ')']",7
北京邮电大学,日语,['日语'],3
北京邮电大学,智能交互设计,"['智能', '交互', '设计']",3
北京邮电大学,通信工程(大类招生),"['通信工程', '(', '大', '类', '招生', ')']",20
北京邮电大学,计算机类,"['计算机', '类']",18
北京邮电大学,人工智能(大类招生),"['人工智能', '(', '大', '类', '招生', ')']",17
北京邮电大学,邮政工程(互联网与智慧物流),"['邮政', '工程', '(', '互联网', '与', '智慧', '物流', ')']",5
北京邮电大学,机械工程(机器人试验班),"['机械工程', '(', '机器人', '试验班', ')']",3
北京邮电大学,工商管理类,"['工商管理', '类']",5
北京邮电大学,英语,['英语'],4
北京邮电大学,法学,['法学'],2
北京印刷学院,新闻传播学类,"['新闻', '传播学', '类']",3
北京印刷学院,机械类,['机械类'],5
北京印刷学院,计算机类,"['计算机', '类']",10
北京印刷学院,轻工类,"['轻工', '类']",4
北京印刷学院,编辑出版学(韬奋实验班),"['编辑', '出版学', '(', '韬奋', '实验班', ')']",2
北京印刷学院,印刷工程(毕昇卓越班),"['印刷', '工程', '(', '毕', '昇', '卓越', '班', ')']",1
北京建筑大学,建筑学(实验班),"['建筑学', '(', '实验班', ')']",1
北京建筑大学,建筑类,"['建筑', '类']",1
北京建筑大学,智能建造,"['智能', '建造']",2
北京建筑大学,土木工程(实验班),"['土木工程', '(', '实验班', ')']",3
北京建筑大学,土木工程,['土木工程'],3
北京建筑大学,交通工程,"['交通', '工程']",1
