长春工程学院,本科预科班(招收边防军人子女),"['本科', '预科班', '(', '招收', '边防军', '人', '子女', ')']",3
黑龙江东方学院,生物工程,['生物工程'],4
黑龙江东方学院,土木工程,['土木工程'],8
山东交通学院,土木工程(中外合作办学)(双证),"['土木工程', '(', '中外合作', '办学', ')', '(', '双证', ')']",1
南宁学院,通信工程,['通信工程'],1
湖北经济学院,金融工程,"['金融', '工程']",4
湖北经济学院,金融学,['金融学'],4
北部湾大学,水产养殖学,"['水产', '养殖', '学']",1
北部湾大学,能源化学工程,"['能源', '化学工程']",1
江苏海洋大学,海洋科学,"['海洋', '科学']",1
汉口学院,机械电子工程,"['机械', '电子', '工程']",1
汉口学院,电子信息工程,"['电子', '信息工程']",4
汉口学院,计算机科学与技术,"['计算机科学', '与', '技术']",10
海南医科大学,医学影像技术(中外合作办学),"['医学影像', '技术', '(', '中外合作', '办学', ')']",3
海南医科大学,康复治疗学(中外合作办学),"['康复', '治疗学', '(', '中外合作', '办学', ')']",1
南通理工学院,人工智能,['人工智能'],1
广东培正学院,计算机科学与技术,"['计算机科学', '与', '技术']",3
海口经济学院,土木工程,['土木工程'],3
海口经济学院,数据科学与大数据技术(数字平台运维),"['数据', '科学', '与', '大', '数据', '技术', '(', '数字', '平台', '运维', ')']",1
海口经济学院,交通运输(民航运输),"['交通运输', '(', '民航', '运输', ')']",1
武昌首义学院,土木工程,['土木工程'],1
武昌首义学院,智能建造(城铁优才班),"['智能', '建造', '(', '城铁', '优才', '班', ')']",1
武昌理工学院,智能科学与技术(科大讯飞精英班),"['智能科学', '与', '技术', '(', '科大', '讯', '飞', '精英', '班', ')']",2
烟台南山学院,纺织工程,"['纺织', '工程']",22
烟台南山学院,复合材料与工程,"['复合材料', '与', '工程']",8
宁夏理工学院,给排水科学与工程,"['给排水', '科学', '与', '工程']",2
宁夏理工学院,交通运输(机场运行),"['交通运输', '(', '机场', '运行', ')']",3
广东东软学院,软件工程,['软件工程'],3
广东东软学院,网络工程,['网络工程'],4
广东东软学院,计算机科学与技术,"['计算机科学', '与', '技术']",1
广州软件学院,网络工程,['网络工程'],2
广州软件学院,电子信息工程,"['电子', '信息工程']",1
广州南方学院,电气工程及其自动化,"['电气工程', '及其', '自动化']",5
成都东软学院,医学信息工程,"['医学', '信息工程']",1
成都东软学院,智能医学工程,"['智能', '医学工程']",2
厦门华厦学院,机械设计制造及其自动化,"['机械设计', '制造', '及其', '自动化']",3
厦门华厦学院,通信工程,['通信工程'],1
厦门华厦学院,物联网工程,"['物', '联网', '工程']",1
厦门华厦学院,制药工程,"['制药', '工程']",2
西安欧亚学院,智能建造,"['智能', '建造']",4
山西应用科技学院,交通工程,"['交通', '工程']",1
河北传媒学院,智能工程与创意设计,"['智能', '工程', '与', '创意设计']",1
吉利学院,机器人工程,"['机器人', '工程']",1
吉利学院,计算机类,"['计算机', '类']",1
吉利学院,物联网工程,"['物', '联网', '工程']",3
吉利学院,飞行器制造工程,"['飞行器', '制造', '工程']",1
吉利学院,飞行器控制与信息工程,"['飞行器', '控制', '与', '信息工程']",5
安徽文达信息工程学院,物联网工程,"['物', '联网', '工程']",1
安徽文达信息工程学院,电气工程与智能控制,"['电气工程', '与', '智能', '控制']",1
安徽文达信息工程学院,机械设计制造及其自动化,"['机械设计', '制造', '及其', '自动化']",1
安徽文达信息工程学院,机器人工程,"['机器人', '工程']",2
潍坊科技学院,生物技术,"['生物', '技术']",16
潍坊科技学院,土木工程,['土木工程'],34
潍坊科技学院,园艺,['园艺'],5
潍坊科技学院,种子科学与工程,"['种子', '科学', '与', '工程']",40
潍坊科技学院,植物保护,['植物保护'],47
潍坊科技学院,应用化学,['应用化学'],21
江西应用科技学院,物联网工程,"['物', '联网', '工程']",5
江西应用科技学院,软件工程,['软件工程'],2
江西应用科技学院,土木工程,['土木工程'],2
山东英才学院,机械设计制造及其自动化,"['机械设计', '制造', '及其', '自动化']",33
山东英才学院,电气工程及其自动化,"['电气工程', '及其', '自动化']",11
山东英才学院,智能制造工程,"['智能', '制造', '工程']",18
山东英才学院,电子信息工程,"['电子', '信息工程']",23
山东英才学院,计算机科学与技术,"['计算机科学', '与', '技术']",29
山东英才学院,土木工程,['土木工程'],28
山东英才学院,康复治疗学,"['康复', '治疗学']",44
山东英才学院,汽车服务工程,"['汽车', '服务', '工程']",6
山东英才学院,金融工程(国家留学基金委AISEC项目详见我校招生简章),"['金融', '工程', '(', '国家', '留学', '基金委', 'AISEC', '项目', '详见', '我校', '招生简章', ')']",47
山东英才学院,数据科学与大数据技术,"['数据', '科学', '与', '大', '数据', '技术']",23
山东英才学院,通信工程,['通信工程'],21
山东英才学院,智能车辆工程,"['智能', '车辆', '工程']",26
